loc_id,name,latitude,longitude
loc_84804,Antelias,33.8894700,35.5739932
loc_1144,Antibes,43.5807230,7.1208720
loc_17221,Antony,48.7536640,2.2971120
loc_47550,Antsirabe,-17.1758310,44.9814000
loc_2531,Antwerpen,51.2073520,4.4260540
loc_3816,Apeldoorn,52.2141300,5.9606000
loc_87205,Apodaca,25.7710603,-100.2627547
loc_119942,Appenzell,47.3308044,9.4087063
loc_29185,Arab,34.3308710,-86.5032900
loc_9011,Aracaju,-10.9106000,-37.0598980
loc_119809,Aracati,-4.5627335,-37.7690903
loc_63335,Arakawa,37.8833333,139.3166667
loc_48811,Araraquara,-21.7946127,-48.1765932
loc_48606,Arboga,59.3937725,15.8384786
loc_6102,Arbroath,56.5500000,-2.5833333
loc_1729,Arcata,40.8666670,-124.0816670
loc_44338,Archibald,32.3488520,-91.7773410
loc_145682,Arcola,44.1145530,9.9058640
loc_73236,Arcozelo,41.1358915,-8.6331883
loc_29701,Arcueil,48.8070000,2.3359250
loc_120258,Ardee,53.8576227,-6.5400009
loc_20272,Arendonk,51.2682610,5.0846450
loc_6999,Arequipa,-16.3975390,-71.5227430
loc_18979,Arezzo,43.4712010,11.8630620
loc_152140,Argelès-Gazost,43.0162000,-0.1003000
loc_10397,Argenteuil,48.9416310,2.2470590
loc_93906,Arica,-18.4770440,-70.3145330
loc_19625,Arima,10.6400000,-61.2799980
loc_137134,Ariton,31.5980560,-85.7186110
loc_63041,Arkhangelsk,64.5369264,40.5655707
loc_15006,Arles,43.6766500,4.6278040
loc_509,Arleux,50.2799940,3.1035220
loc_1371,Arlington,38.8708330,-77.1013890
loc_1372,Arlington,32.7355560,-97.1077780
loc_1305,Arlington Heights,42.0883330,-87.9805560
loc_103078,Arlöv,55.6333330,13.0666670
loc_129616,Armenia,13.7426873,-89.5092951
loc_25453,Armentières,50.6876560,2.8812840
loc_30718,Arnac-Pompadour,45.3974520,1.3844760
loc_6427,Arnhem,51.9884110,5.9229380
loc_16863,Arques,50.7350210,2.3120350
loc_70810,Arques-la-Bataille,49.8836402,1.1269206
loc_116280,Arradon,47.6276660,-2.8228170
loc_10532,Arras,50.2928750,2.7824990
loc_3122,Arvika,59.6699980,12.5900000
loc_139723,As Suwayda&#39;,32.7125000,36.5666670
loc_31533,Asahikawa,43.7677778,142.3702778
loc_2519,Asbury Park,40.2202780,-74.0125000
loc_23701,Aschaffenburg,49.9730000,9.1489770
loc_15435,Ascot,51.4000000,-0.6666667
loc_139853,Asea,37.4166670,22.2666670
loc_2159,Ashby de la Zouch,52.7500000,-1.4666667
loc_154,Asheville,35.6008330,-82.5541670
loc_11044,Ashford,51.1333333,0.8833333
loc_66788,Ashikaga,36.3333333,139.4500000
loc_31398,Ashiya,34.7333333,135.3166667
loc_3606,Ashland,37.4083330,-81.3527780
loc_4275,Ashland,38.4783330,-82.6380560
loc_5002,Ashland,42.1947220,-122.7083330
loc_114974,Ashridge,51.8040000,-0.5780000
loc_3056,Ashtabula,41.8650000,-80.7900000
loc_37334,Ashtead,51.3000000,-0.3000000
loc_22243,Ashton,39.1491670,-77.0127780
loc_16125,Asnières-sur-Seine,48.9181750,2.2835460
loc_23567,Asolo,45.7932960,11.9128330
loc_26838,Assisi,43.0701670,12.6175180
loc_49233,Astana,51.1796000,71.4475000
loc_8724,Asten,51.4042740,5.7475410
loc_4206,Asti,44.8262530,8.1984840
loc_8692,Asunción,-25.3004940,-57.6362310
loc_30021,Atami,35.0894444,139.0686111
loc_2744,Atascadero,35.4894440,-120.6697220
loc_220,Athens,37.9799990,23.7299990
loc_229,Athens,34.8027780,-86.9716670
loc_3910,Athens,39.3291670,-82.1013890
loc_704,Athens,33.9608330,-83.3780560
loc_2943,Atherton,37.4613890,-122.1966670
loc_55,Atlanta,33.7488890,-84.3880560
loc_4037,Atlantic City,39.3641670,-74.4233330
loc_12571,Atsugi,35.4388889,139.3597222
loc_10865,Attard,35.8899990,14.4499990
loc_1465,Attleboro,41.9444440,-71.2861110
loc_126117,Atzenbrugg,48.2911960,15.9057620
loc_140967,Atzmon,32.8661250,35.2521755
loc_12042,Au,-25.2852640,133.8231170
loc_9813,Aubagne,43.2932530,5.5702820
loc_97039,Aubergenville,48.9591319,1.8558910
loc_13523,Aubervilliers,48.9148230,2.3812070
loc_1327,Auburn,47.3075000,-122.2272220
loc_1724,Auburn,42.9316670,-76.5663890
loc_6238,Auburn,44.0977780,-70.2316670
loc_918,Auburn,32.6097220,-85.4808330
loc_151520,Aubusson,45.9578000,2.1684000
loc_97310,Auby,48.1563418,4.3732462
loc_38878,Auchsesheim,48.7194500,10.7768740
loc_38,Auckland,-36.8499980,174.7599940
loc_5164,Auckland,-36.9041480,174.7604980
loc_119095,Auderghem,50.8171750,4.4250820
loc_124386,Audignicourt,49.4791670,3.1338890
loc_14355,Audubon,39.8908330,-75.0733330
loc_20357,Augsburg,48.3620790,10.9008270
loc_43178,Augusta,37.6931230,-96.9714210
loc_810,Augusta,33.4727780,-81.9644440
